ot_member_id,gender,locale,address_country_code,opt_in,favourited_brands,favourited_category_names
2ab18652-c227-58f4-8665-e77e5f746a5e,female,de-DE,DE,true,null,null
84df6f03-b446-5e5a-bfab-1ad10cf4003d,male,nl-NL,NL,true,null,null
92731e89-3202-5e28-9344-216921f096b8,female,de-DE,DE,null,"[""Khujo"",""Tommy Hilfiger"",""Comma"",""Cowboysbag"",""G-Star RAW"",""Calvin Klein"",""Marc O'Polo"",""Steve Madden"",""Scotch & Soda"",""Ted Baker"",""DNA Amsterdam""]",null
f66272dd-86a7-59f6-ab3a-f9cae6d2a968,male,nl-NL,BE,true,"[""SO GOOD TO WEAR"",""KARL LAGERFELD"",""Happy Socks"",""Suitsupply"",""Hackett London"",""Van Gils"",""rag & bone""]",null
7d4a57ed-8bbf-5ff8-9c98-6acd12c3d311,female,en-EN,null,true,"[""Scotch & Soda"",""PINKO"",""ILSE JACOBSEN HORNBÆK"",""JOSH V"",""Reiss"",""Ted Baker""]",null
a7794ead-2e6d-559b-b2d4-8ab280849558,male,nl-NL,NL,true,"[""Marc O'Polo"",""Reiss"",""McGregor"",""Mason Garments"",""Calvin Klein"",""Tommy Hilfiger"",""Cavallaro Napoli""]",null
8272bc20-b734-5f60-a103-919d429075da,female,nl-NL,NL,true,"[""ESPRIT"",""Claudia Strater"",""VIA VAI"",""Summum Woman""]",null
6fa572a2-27c7-5c51-bdc5-5d810064c4e8,female,nl-NL,NL,true,"[""Scotch & Soda""]",null
b476eea2-2e4c-5c01-8dcb-14f6042ea065,female,nl-NL,NL,true,"[""JOSH V"",""My Jewellery""]","[""Jurken"",""Schoenen""]"
40009b0e-d0ba-5f68-b6b5-5bd509382e81,male,fr-FR,FR,true,"[""Scotch & Soda""]",null
8710d8c0-4599-502e-8a16-929cdfcea1db,female,nl-NL,NL,true,"[""Scotch & Soda"",""Garcia"",""NIK & NIK"",""Vince""]","[""Jassen""]"
c762a3dd-7b65-5614-8fc9-3d8c71222513,male,nl-BE,BE,true,"[""Marciano by Guess"",""Scotch & Soda"",""River Woods""]",null
c04965dd-8dba-544d-a51e-6b56560b6361,female,nl-NL,NL,true,"[""Shabbies Amsterdam"",""Reiss"",""VIA VAI"",""Sandwich"",""NIKKIE"",""Summum Woman"",""River Woods"",""Scotch & Soda"",""Tommy Hilfiger"",""POM Amsterdam""]",null
5212038f-ee2a-59a2-a22d-4537f654d572,male,nl-NL,NL,null,"[""Van Lier"",""Didriksons"",""SWIMS"",""Cavallaro Napoli"",""PAIGE"",""Dstrezzed"",""Marciano by Guess"",""Shiwi"",""Hackett London"",""Scotch & Soda"",""Gabbiano"",""No Excess""]",null
440f2712-ef82-5645-b03e-17b5d76ba896,female,nl-NL,NL,null,"[""JOSH V"",""Scotch & Soda"",""Marciano by Guess"",""PINKO""]",null
dbd0321d-c934-5cb9-90ec-555a4d11665a,female,nl-NL,NL,true,null,null
50ccde6f-2e82-57cb-a56f-b753dfcf6157,female,nl-NL,NL,false,"[""Sandwich"",""Scotch & Soda"",""Phase Eight""]","[""Truien & Vesten""]"
f220bd73-0aeb-5fe3-8931-edb0ac108b2b,male,de-DE,DE,true,"[""KARL LAGERFELD"",""Tommy Hilfiger"",""ASICS"",""Calvin Klein""]","[""Jeans"",""Oberteile"",""Trainers""]"
da0f58cb-eea1-5b2c-be1d-4ff777c9e42a,female,en-EN,HR,true,"[""LK Bennett""]","[""Jackets""]"
ba6c3c6b-8022-5bc1-8981-efc80a53373b,female,de-DE,null,false,"[""Butcher of Blue"",""Comma"",""Closed""]","[""Pullover & Strickjacken"",""Shirts & Tops"",""Kleider"",""Mäntel"",""Hosen""]"
24a91287-caa5-5c76-b6c3-dfa5e9593636,female,nl-NL,NL,true,"[""Fabienne Chapot"",""Aaiko"",""Comma"",""Esqualo"",""Alix The Label"",""Humanoid"",""Circle of Trust"",""Alchemist"",""Sandwich"",""10DAYS"",""Dante6"",""ILSE JACOBSEN HORNBÆK"",""Jasper Conran"",""Closed"",""BY-BAR"",""Freebird""]","[""Tops & T-shirts""]"
bc86acd9-351f-5c76-b54a-425cf0847a8f,male,nl-NL,NL,true,"[""Scotch & Soda"",""PINKO"",""Freebird""]",null
908c913e-8955-5a9c-8d4b-2d44c1c87e3b,male,nl-NL,NL,true,"[""Lyle & Scott"",""ESPRIT"",""McGregor"",""Scotch & Soda"",""Mason Garments"",""Tommy Hilfiger"",""Van Lier"",""Floris van Bommel""]",null
155097b3-c7b9-5a81-92cc-82868f17afb3,female,nl-NL,NL,true,null,null
408f264f-d250-5fe6-8874-6d89714cf969,male,de-DE,DE,null,"[""Belstaff"",""Alexander McQueen""]",null
2ddec409-8209-56ee-a646-b00e8021b6e4,male,nl-NL,NL,true,null,null
a5f868a6-cb94-5c27-9f80-e6db81cff502,female,nl-NL,NL,true,"[""Puma"",""Floris van Bommel"",""NIKKIE"",""Shoeby"",""Jacqueline de Yong"",""Circle of Trust"",""Colourful Rebel"",""VIA VAI"",""My Jewellery"",""Shabbies Amsterdam"",""LTB Jeans"",""Cowboysbag"",""Vila"",""HOBBS"",""Schmuddelwedda"",""Zusss"",""Edited""]","[""Truien & Vesten"",""Tops & T-shirts"",""Jurken"",""Jassen"",""Mantels"",""Broeken""]"
7e25f03b-cead-5013-b70b-e4e2fab235d6,male,nl-NL,NL,true,"[""Mason Garments""]",null
012e7f8c-4071-5476-b850-16fbd6f89edf,female,nl-NL,NL,true,"[""King Louie"",""Dante6"",""10DAYS"",""POM Amsterdam"",""Filippa K"",""Scotch & Soda"",""Fabienne Chapot"",""Zusss"",""Penn&Ink N.Y"",""Lyle & Scott""]","[""Jurken""]"
f5e74b43-c567-5820-8b37-6c76388c8777,female,nl-NL,NL,true,null,null
731b9729-a50c-573a-9d84-4e5bd28e208b,male,nl-NL,null,true,"[""McGregor"",""Hackett London"",""Lyle & Scott"",""Mason Garments"",""Cavallaro Napoli"",""Tommy Hilfiger""]",null
c0383589-32d3-57c5-b674-e399797ca310,female,de-DE,DE,true,"[""Marc O'Polo"",""Comma"",""Scotch & Soda"",""Rich & Royal"",""Closed"",""Marciano by Guess"",""Didriksons""]",null
3414ee43-31f2-51f9-8e74-2d9e39c2da73,male,en-EN,BE,null,"[""Scotch & Soda""]",null
031e0964-cc25-59bc-be88-638d4411502a,male,nl-NL,null,null,null,null
882543ed-d601-58f4-a13b-b62ee1aa23b1,male,nl-NL,NL,true,"[""Scotch & Soda Footwear"",""Lyle & Scott"",""Scotch & Soda"",""Tommy Hilfiger""]","[""Jassen""]"
de262230-22ea-5863-b9b2-a59045a9cf08,female,nl-NL,NL,true,"[""JOSH V"",""Daily Paper"",""Ivy Oak"",""NA-KD"",""Marlies Dekkers"",""Scotch & Soda Footwear"",""Reiss"",""America Today"",""Tommy Hilfiger"",""Scotch & Soda"",""Filippa K"",""Marciano by Guess""]","[""Truien & Vesten"",""Tops & T-shirts"",""Jurken"",""Jassen"",""Schoenen"",""Broeken"",""Truien & vesten"",""Jassen"",""Jeans"",""Mantels"",""Shirts"",""Broeken"",""Jassen"",""Truien & Vesten"",""Jurken"",""Broeken"",""T-shirts"",""Spijkerbroeken""]"
3b898465-0c8e-528f-9614-1010df4324df,male,nl-NL,NL,true,"[""ASICS"",""Scotch & Soda""]",null
4d709869-522d-5d80-aa67-f8ba5ea81b12,female,nl-NL,NL,true,"[""Freebird"",""Scotch & Soda"",""Alix The Label"",""Fabienne Chapot""]","[""Truien & Vesten"",""Jurken"",""Mantels""]"
578a4295-e46f-55b8-bfeb-23d942751fdc,female,nl-NL,NL,true,null,null
