ot_product_id,name,description,productstatus,seyear,mainseason,gender,brand_display_name,sizeguide,originalcolourname,pattern,occasion,style,color,active,productsegment,pricelive,retailpricelive,productid
2ae6554d-8b0a-47f8-8103-54b72d3fb197,HOXTON ULTRA SKINNY PULL ON GEMINI,,publish,21,SS,F,PAIGE,true,GEMINI,Plain,null,null,BLUE,true,WOMEN,60.99,265,499255
a8600954-8e45-433c-94f6-f900959874fc,WOMEN A-SHAPED TANKTOP BRIGHT JASPER,FAVORITE SOFT LINEN MADE IN PORTUGAL,publish,23,SS,F,Closed,true,BRIGHT JASPER,Stripes,null,Casual,WHITE,true,WOMEN,33.99,80,778198
850ac8cf-a233-4a87-ad59-cef238e98bdf,DESERT BLACK,Vacchetta Natura Made In Italy,publish,22,SS,F,Closed,true,BLACK,null,null,null,BLACK,true,WOMEN,57.99,199,525332
fc4ef800-886d-45ce-bfd7-1cd4e75f193c,RAUNDI DRESS HEATHER GREY,"Our bestselling Raundi Sweater is now offered as the perfect sweater dress. This cozy midi dress updates a classic turtleneck silhouette with a shoulder-baring design that's a little unexpected and incredible chic. This easy silhouette is made from the softest wool blend and comes with a self-belt at the waist, adjustable cuffs and a fold-over turtleneck.",publish,21,FW,F,PAIGE,true,HEATHER GREY,Plain,null,Business,GREY,true,WOMEN,61.99,375,590438
853f9c3e-63c1-41a2-9fa8-1ce1b6ff7b12,SIDE TAPE SHORTS MAIZE,Side Tape Shorts,publish,22,SS,M,Lyle & Scott,true,MAIZE,Plain,null,null,YELLOW,true,MEN,27.99,75,723435
94e37e27-c399-4133-b979-c3622e48277a,CREW NECK SWEATSHIRT ELECTRIC YELLOW,Crew Neck Sweatshirt,publish,22,SS,M,Lyle & Scott,true,ELECTRIC YELLOW,Plain,null,null,GREEN,true,MEN,27.99,70,650312
549b0f19-e8c0-4ff4-b50b-1d2154b97fd9,GIRLS’ WHITE LONG SKIRT WITH RED PLEATS,"Red and shite stripes, a slogan print, stars and lightning. IKKS girls see themselves as rebel rock chicks in a two-tone long pleated skirt.",publish,23,SS,K,IKKS,true,OFF-WHITE,Stripes,null,null,null,true,KIDS,48.99,75,954739
4b9d9c4c-fd7a-4f49-8daf-b05b22da3db9,NAVY WAISTCOAT NAVY,,publish,17,FW,M,Suitsupply,true,NAVY,Plain,null,null,NAVY,true,MEN,63.99,99,946047
0df1325e-7802-430b-9f10-57e0c778fe76,Navy Jersey Extra Slim Fit Short Sleeve Popover,"• A casual alternative to the classic button-up, this relaxed navy short-sleeve popover is tailored to an extra slim fit. Knitted from pure cotton jersey, it features a curved cutaway collar, curved hem and 4-button half placket.",publish,21,SS,M,Suitsupply,true,NAVY,Plain,null,Casual,BLUE,true,MEN,38.99,79,750108
1c3b88a0-c6f7-4de6-b2f1-e4be0ff3fe10,GREY RIBBED CREWNECK GREY,,publish,21,FW,M,Suitsupply,true,GREY,Stripes,null,Business,GREY,true,MEN,78.99,189,939706
14cd74d9-c9ee-462f-b92a-ea288e994a81,BLUE TURTLENECK,"Add Some Vibrant Color To Your Winter Palette With This Deep Blue Turtleneck.  Tailored To A Slim Fit, This Classic Layering Piece Is Cut From Pure Ultra-Soft Cashmere.",publish,20,FW,M,Suitsupply,true,BLUE,Plain,null,null,BLUE,true,MEN,85.99,159,811924
a8115a8a-dafb-462d-8a20-3684681f7b89,GYMSHARK TRAINING CROPPED LEGGINGS - COURT BLUE,"IN YOUR LOCKER These classic crops are high waisted, super stretchy and available in a range of stylish (and versatile) colours so no matter what, you'll always have something effortlessly stylish to wear. - High rise fit - Cropped length - Single tone - Logo to hip - Logo on back of waistband - 78 % Polyester, 22% Elastane - We've cut down on our use of swing tags, so this product comes without one - Model is 5'3"" and wears a size S - SKU: B2A8D-UBDN",publish,22,SS,F,Gymshark,true,COURT BLUE,Plain,null,null,BLUE,true,WOMEN,9.99,30,601687
76c9afcc-4c62-4b7c-b9c6-e6f59d495505,GYMSHARK PULSE CROPPED LEGGINGS LIGHT PINK,"NEVER MISS A BEAT Feeling fresh as a freshman. The Pulse Cropped Leggings offer you a flexible fit with polyester and elastane blend fabric. Mesh panels to the lower leg increase breathability and a mesh pocket to the waistband ensure you'll never lose your essentials. - High rise cropped leggings - Open mesh pocket to back waistband - Shaped back waistband - Mesh panels to lower leg - Full length gusset - Main: 82% Recycled Polyester 18% Elastane. Secondary: 67.1% Nylon 32.9% Elastane - Lining: 92% Polyester 8% Spandex in Scandi pink and white - We've cut down on our use of swing tags, so this product comes without one - Model is 5""8 and wears a size XS - Video model is 5'5"" and wears a size XS - SKU: GLLG5468-SCP",publish,21,SS,F,Gymshark,true,LIGHT PINK,Plain,null,null,PINK,true,WOMEN,9.99,35,636456
4848852b-c570-41ab-8dee-65c0a762c1f6,EO/ SHORT DRAWSTRNG PIONEER BLUE,,publish,23,SS,M,Calvin Klein,true,PIONEER BLUE,Logo print,null,null,BLUE,true,MEN,21.99,54.9,902035
e8bc7b7f-c2af-4020-832a-49a911fa7a2e,NEEL BLAUW,,publish,22,SS,K,Braqeez,true,BLAUW,null,null,null,null,true,KIDS,37.99,69.95,921956
ede1929c-5da4-4c6f-a03e-75297682c83d,ARIANNA PLEAT SKIRT RIRI AQUA GREEN,Ecovero™ Lenzing™ Viscose,publish,23,SS,F,King Louie,true,AQUA GREEN,null,null,null,MULTICOLOUR,true,WOMEN,21.99,99.95,940758
eea42a44-036b-492d-be5b-9682c183e649,GYMSHARK MESH NECKLINE SPORTS BRA CREAM,"FOR YOU, FOR YOURS The days of unflattering, uncomfortable sports bras are officially over. The Mesh Neckline Sports Bra has been created specifically for high impact sports to give you all the support you need, while still being comfortable and stylish. With mesh inserts and cut outs, ventilation is taken care of and its racer front and strap detailing give a classic, stylish finish. - Body fit - Pre-formed cups to internal of bra - Rings to apex, adjustable elastic straps to loop through rings - Racer narrow front shaping - Mesh insert to chest - Cut out to back - Hook and eye fastening - Logo to left chest - 78% Nylon, 22% Elastane / Mesh: 75% Nylon 25% Elastane - We've cut down on our use of swing tags, so this product comes without one - Model is 5""9 and wears a size L - Video model is 5'5"" and wears a size XS - SKU: GLSB4724-CCW",publish,21,SS,F,Gymshark,true,CREAM,Plain,null,null,GREEN,true,WOMEN,9.99,40,636637
8c79f14c-ae3b-4fc7-adb1-088519f67e29,SMART SUTTON TROUSER CHARC GREY,"Our Classic Sutton Chino Shape In A Smarter Style - Full Length, Semi-Plain, Smart Trouser. With Pockets.",publish,22,FW,M,White Stuff,true,CHARC GREY,Plain,null,Business,GREY,true,MEN,25.99,74.95,742860
b04d9df9-f391-4edd-ad5f-473528788d5f,GEL-PULSE 13 FRENCH BLUE/SHOCKING ORANGE,FRENCH BLUE/SHOCKING ORANGE,publish,22,FW,M,ASICS,true,FRENCH BLUE/SHOCKING ORANGE,Checked,null,null,null,true,MEN,54.99,110,744336
